id;nom;categorie;style;niveau;chemin_photo;photo_obligatoire;consigne_photo;materiel_visible
EX0001;Développé couché barre;Haut du corps;musculation;Débutant;assets/photos/exercises/01_haut_du_corps/EX0001_developpe-couche-barre_debutant_musculation.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style musculation, matériel visible : barre, banc;barre, banc
EX0002;Développé couché barre;Haut du corps;crossfit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0002_developpe-couche-barre_debutant_crossfit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style crossfit, matériel visible : barre, banc;barre, banc
EX0003;Développé couché barre;Haut du corps;crosstraining;Débutant;assets/photos/exercises/01_haut_du_corps/EX0003_developpe-couche-barre_debutant_crosstraining.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style crosstraining, matériel visible : barre, banc;barre, banc
EX0004;Développé couché barre;Haut du corps;hiit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0004_developpe-couche-barre_debutant_hiit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style hiit, matériel visible : barre, banc;barre, banc
EX0005;Développé couché barre;Haut du corps;cardio;Débutant;assets/photos/exercises/01_haut_du_corps/EX0005_developpe-couche-barre_debutant_cardio.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style cardio, matériel visible : barre, banc;barre, banc
EX0006;Développé couché barre;Haut du corps;remise_forme;Débutant;assets/photos/exercises/01_haut_du_corps/EX0006_developpe-couche-barre_debutant_remise_forme.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Débutant, style remise_forme, matériel visible : barre, banc;barre, banc
EX0007;Développé couché barre;Haut du corps;musculation;Actif;assets/photos/exercises/01_haut_du_corps/EX0007_developpe-couche-barre_actif_musculation.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style musculation, matériel visible : barre, banc;barre, banc
EX0008;Développé couché barre;Haut du corps;crossfit;Actif;assets/photos/exercises/01_haut_du_corps/EX0008_developpe-couche-barre_actif_crossfit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style crossfit, matériel visible : barre, banc;barre, banc
EX0009;Développé couché barre;Haut du corps;crosstraining;Actif;assets/photos/exercises/01_haut_du_corps/EX0009_developpe-couche-barre_actif_crosstraining.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style crosstraining, matériel visible : barre, banc;barre, banc
EX0010;Développé couché barre;Haut du corps;hiit;Actif;assets/photos/exercises/01_haut_du_corps/EX0010_developpe-couche-barre_actif_hiit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style hiit, matériel visible : barre, banc;barre, banc
EX0011;Développé couché barre;Haut du corps;cardio;Actif;assets/photos/exercises/01_haut_du_corps/EX0011_developpe-couche-barre_actif_cardio.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style cardio, matériel visible : barre, banc;barre, banc
EX0012;Développé couché barre;Haut du corps;remise_forme;Actif;assets/photos/exercises/01_haut_du_corps/EX0012_developpe-couche-barre_actif_remise_forme.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Actif, style remise_forme, matériel visible : barre, banc;barre, banc
EX0013;Développé couché barre;Haut du corps;musculation;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0013_developpe-couche-barre_confirme_musculation.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style musculation, matériel visible : barre, banc;barre, banc
EX0014;Développé couché barre;Haut du corps;crossfit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0014_developpe-couche-barre_confirme_crossfit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style crossfit, matériel visible : barre, banc;barre, banc
EX0015;Développé couché barre;Haut du corps;crosstraining;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0015_developpe-couche-barre_confirme_crosstraining.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style crosstraining, matériel visible : barre, banc;barre, banc
EX0016;Développé couché barre;Haut du corps;hiit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0016_developpe-couche-barre_confirme_hiit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style hiit, matériel visible : barre, banc;barre, banc
EX0017;Développé couché barre;Haut du corps;cardio;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0017_developpe-couche-barre_confirme_cardio.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style cardio, matériel visible : barre, banc;barre, banc
EX0018;Développé couché barre;Haut du corps;remise_forme;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0018_developpe-couche-barre_confirme_remise_forme.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Confirmé, style remise_forme, matériel visible : barre, banc;barre, banc
EX0019;Développé couché barre;Haut du corps;musculation;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0019_developpe-couche-barre_athlete_musculation.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style musculation, matériel visible : barre, banc;barre, banc
EX0020;Développé couché barre;Haut du corps;crossfit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0020_developpe-couche-barre_athlete_crossfit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crossfit, matériel visible : barre, banc;barre, banc
EX0021;Développé couché barre;Haut du corps;crosstraining;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0021_developpe-couche-barre_athlete_crosstraining.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style crosstraining, matériel visible : barre, banc;barre, banc
EX0022;Développé couché barre;Haut du corps;hiit;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0022_developpe-couche-barre_athlete_hiit.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style hiit, matériel visible : barre, banc;barre, banc
EX0023;Développé couché barre;Haut du corps;cardio;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0023_developpe-couche-barre_athlete_cardio.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style cardio, matériel visible : barre, banc;barre, banc
EX0024;Développé couché barre;Haut du corps;remise_forme;Athlète FAFATRAINING;assets/photos/exercises/01_haut_du_corps/EX0024_developpe-couche-barre_athlete_remise_forme.jpg;OUI;Développé couché barre — photo réaliste dédiée, niveau Athlète FAFATRAINING, style remise_forme, matériel visible : barre, banc;barre, banc
EX0025;Développé couché haltères;Haut du corps;musculation;Débutant;assets/photos/exercises/01_haut_du_corps/EX0025_developpe-couche-halteres_debutant_musculation.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style musculation, matériel visible : haltères, banc;haltères, banc
EX0026;Développé couché haltères;Haut du corps;crossfit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0026_developpe-couche-halteres_debutant_crossfit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0027;Développé couché haltères;Haut du corps;crosstraining;Débutant;assets/photos/exercises/01_haut_du_corps/EX0027_developpe-couche-halteres_debutant_crosstraining.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0028;Développé couché haltères;Haut du corps;hiit;Débutant;assets/photos/exercises/01_haut_du_corps/EX0028_developpe-couche-halteres_debutant_hiit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style hiit, matériel visible : haltères, banc;haltères, banc
EX0029;Développé couché haltères;Haut du corps;cardio;Débutant;assets/photos/exercises/01_haut_du_corps/EX0029_developpe-couche-halteres_debutant_cardio.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style cardio, matériel visible : haltères, banc;haltères, banc
EX0030;Développé couché haltères;Haut du corps;remise_forme;Débutant;assets/photos/exercises/01_haut_du_corps/EX0030_developpe-couche-halteres_debutant_remise_forme.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Débutant, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0031;Développé couché haltères;Haut du corps;musculation;Actif;assets/photos/exercises/01_haut_du_corps/EX0031_developpe-couche-halteres_actif_musculation.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style musculation, matériel visible : haltères, banc;haltères, banc
EX0032;Développé couché haltères;Haut du corps;crossfit;Actif;assets/photos/exercises/01_haut_du_corps/EX0032_developpe-couche-halteres_actif_crossfit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style crossfit, matériel visible : haltères, banc;haltères, banc
EX0033;Développé couché haltères;Haut du corps;crosstraining;Actif;assets/photos/exercises/01_haut_du_corps/EX0033_developpe-couche-halteres_actif_crosstraining.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style crosstraining, matériel visible : haltères, banc;haltères, banc
EX0034;Développé couché haltères;Haut du corps;hiit;Actif;assets/photos/exercises/01_haut_du_corps/EX0034_developpe-couche-halteres_actif_hiit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style hiit, matériel visible : haltères, banc;haltères, banc
EX0035;Développé couché haltères;Haut du corps;cardio;Actif;assets/photos/exercises/01_haut_du_corps/EX0035_developpe-couche-halteres_actif_cardio.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style cardio, matériel visible : haltères, banc;haltères, banc
EX0036;Développé couché haltères;Haut du corps;remise_forme;Actif;assets/photos/exercises/01_haut_du_corps/EX0036_developpe-couche-halteres_actif_remise_forme.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Actif, style remise_forme, matériel visible : haltères, banc;haltères, banc
EX0037;Développé couché haltères;Haut du corps;musculation;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0037_developpe-couche-halteres_confirme_musculation.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style musculation, matériel visible : haltères, banc;haltères, banc
EX0038;Développé couché haltères;Haut du corps;crossfit;Confirmé;assets/photos/exercises/01_haut_du_corps/EX0038_developpe-couche-halteres_confirme_crossfit.jpg;OUI;Développé couché haltères — photo réaliste dédiée, niveau Confirmé, style crossfit, matériel visible : haltères, banc;haltères, banc
