id;nom;durée;style;niveau;audience;cible
full_body;Full body intelligent;45 min;équilibré;;;
mobilite_recovery;Mobilité / récupération;20–40 min;prévention;;;
stretching;Étirements / stretching;15–45 min;souplesse;;;
stretching_avance_v40;Stretching Avancé;45–70 min;stretching;;;
stretching_bas_corps_v40;Stretching Bas du corps;35–55 min;stretching;;;
stretching_boxe_v40;Stretching Boxe;30–45 min;stretching;;;
stretching_core_v40;Stretching Core;20–35 min;stretching;;;
stretching_debutant_v40;Stretching Débutant;30–40 min;stretching;;;
stretching_exterieur_v40;Stretching Extérieur;25–45 min;stretching;;;
stretching_groupe_v40;Stretching Groupe;30–45 min;stretching;;;
stretching_haut_corps_v40;Stretching Haut du corps;35–55 min;stretching;;;
stretching_intermediaire_v40;Stretching Intermédiaire;40–55 min;stretching;;;
stretching_solo_v40;Stretching Solo;35–60 min;stretching;;;
boxe_avance_v40;Boxe cardio Avancé;45–70 min;boxe;;;
boxe_bas_corps_v40;Boxe cardio Bas du corps;35–55 min;boxe;;;
boxe_boxe_v40;Boxe cardio Boxe;30–45 min;boxe;;;
boxe_core_v40;Boxe cardio Core;20–35 min;boxe;;;
boxe_debutant_v40;Boxe cardio Débutant;30–40 min;boxe;;;
boxe_exterieur_v40;Boxe cardio Extérieur;25–45 min;boxe;;;
boxe_groupe_v40;Boxe cardio Groupe;30–45 min;boxe;;;
boxe_haut_corps_v40;Boxe cardio Haut du corps;35–55 min;boxe;;;
boxe_cardio_intense;Boxe cardio intense;30–50 min;boxe;;;
boxe_intermediaire_v40;Boxe cardio Intermédiaire;40–55 min;boxe;;;
boxe_solo_v40;Boxe cardio Solo;35–60 min;boxe;;;
boxe_debutant;Boxe débutant;25–40 min;boxe;;;
cardio_boxing;Cardio boxing;25–45 min;boxe fitness;;;
boxe_cardio;Boxe cardio;30–55 min;frappes / appuis;;;
circuit_training_avance_v40;Circuit Avancé;45–70 min;circuit_training;;;
circuit_training_bas_corps_v40;Circuit Bas du corps;35–55 min;circuit_training;;;
circuit_training_boxe_v40;Circuit Boxe;30–45 min;circuit_training;;;
circuit_training_core_v40;Circuit Core;20–35 min;circuit_training;;;
circuit_debutant;Circuit débutant;25–35 min;circuit_training;;;
circuit_training_debutant_v40;Circuit Débutant;30–40 min;circuit_training;;;
circuit_training_exterieur_v40;Circuit Extérieur;25–45 min;circuit_training;;;
circuit_groupe;Circuit groupe;30–45 min;circuit_training;;;
circuit_training_groupe_v40;Circuit Groupe;30–45 min;circuit_training;;;
circuit_training_haut_corps_v40;Circuit Haut du corps;35–55 min;circuit_training;;;
circuit_training_intermediaire_v40;Circuit Intermédiaire;40–55 min;circuit_training;;;
circuit_training_solo_v40;Circuit Solo;35–60 min;circuit_training;;;
emom;EMOM;10–30 min;chaque minute;;;
for_time;For Time;10–40 min;contre la montre;;;
amrap;AMRAP;10–30 min;max tours;;;
crossfit_avance_v40;CrossFit style Avancé;45–70 min;crossfit;;;
crossfit_bas_corps_v40;CrossFit style Bas du corps;35–55 min;crossfit;;;
crossfit_boxe_v40;CrossFit style Boxe;30–45 min;crossfit;;;
crossfit_core_v40;CrossFit style Core;20–35 min;crossfit;;;
crossfit_debutant_v40;CrossFit style Débutant;30–40 min;crossfit;;;
crossfit_exterieur_v40;CrossFit style Extérieur;25–45 min;crossfit;;;
crossfit_groupe_v40;CrossFit style Groupe;30–45 min;crossfit;;;
crossfit_haut_corps_v40;CrossFit style Haut du corps;35–55 min;crossfit;;;
crossfit_intermediaire_v40;CrossFit style Intermédiaire;40–55 min;crossfit;;;
crossfit_solo_v40;CrossFit style Solo;35–60 min;crossfit;;;
exterieur_parc;Extérieur parc;25–45 min;exterieur;;;
tabata;Tabata;4–20 min;20/10;;;
circuit_training;Circuit training;25–45 min;circuit;;;
hiit;HIIT;18–30 min;intervalles intenses;;;
crossfit;CrossFit style;20–60 min;WOD technique;;;
cross_training;CrossTraining / WOD;20–60 min;fonctionnel;;;
hyrox;Hyrox;45–90 min;stations endurance;;;
full_body_athlete;Full body athlète;45–70 min;full_body;;;
full_body_debutant;Full body débutant;30–45 min;full_body;;;
ados_fun_sportif;Ados circuit sportif;30–45 min;circuit_training;;;
for_time_team;For Time équipe;20–40 min;for_time;;;
hiit_avance_v40;HIIT Avancé;45–70 min;hiit;;;
hiit_bas_corps_v40;HIIT Bas du corps;35–55 min;hiit;;;
hiit_boxe_v40;HIIT Boxe;30–45 min;hiit;;;
hiit_core_v40;HIIT Core;20–35 min;hiit;;;
hiit_debutant_v40;HIIT Débutant;30–40 min;hiit;;;
hiit_exterieur_v40;HIIT Extérieur;25–45 min;hiit;;;
hiit_groupe_v40;HIIT Groupe;30–45 min;hiit;;;
hiit_haut_corps_v40;HIIT Haut du corps;35–55 min;hiit;;;
hiit_intermediaire_v40;HIIT Intermédiaire;40–55 min;hiit;;;
hiit_solo_v40;HIIT Solo;35–60 min;hiit;;;
tabata_avance;Tabata avancé;16–24 min;tabata;;;
tabata_avance_v40;Tabata Avancé;45–70 min;tabata;;;
tabata_bas_corps_v40;Tabata Bas du corps;35–55 min;tabata;;;
tabata_boxe_v40;Tabata Boxe;30–45 min;tabata;;;
tabata_core_v40;Tabata Core;20–35 min;tabata;;;
tabata_debutant;Tabata débutant;12–20 min;tabata;;;
tabata_debutant_v40;Tabata Débutant;30–40 min;tabata;;;
tabata_exterieur_v40;Tabata Extérieur;25–45 min;tabata;;;
tabata_groupe_v40;Tabata Groupe;30–45 min;tabata;;;
tabata_haut_corps_v40;Tabata Haut du corps;35–55 min;tabata;;;
tabata_intermediaire_v40;Tabata Intermédiaire;40–55 min;tabata;;;
tabata_solo_v40;Tabata Solo;35–60 min;tabata;;;
hyrox_avance_v40;Hyrox Avancé;45–70 min;hyrox;;;
hyrox_bas_corps_v40;Hyrox Bas du corps;35–55 min;hyrox;;;
hyrox_beginner;Hyrox beginner;35–50 min;hyrox;;;
hyrox_boxe_v40;Hyrox Boxe;30–45 min;hyrox;;;
hyrox_competition;Hyrox compétition;60–90 min;hyrox;;;
hyrox_core_v40;Hyrox Core;20–35 min;hyrox;;;
hyrox_debutant_v40;Hyrox Débutant;30–40 min;hyrox;;;
hyrox_exterieur_v40;Hyrox Extérieur;25–45 min;hyrox;;;
hyrox_groupe_v40;Hyrox Groupe;30–45 min;hyrox;;;
hyrox_haut_corps_v40;Hyrox Haut du corps;35–55 min;hyrox;;;
hyrox_intermediaire_v40;Hyrox Intermédiaire;40–55 min;hyrox;;;
hyrox_solo_v40;Hyrox Solo;35–60 min;hyrox;;;
poids_du_corps;Poids du corps;20–55 min;sans matériel;;;
mobilite_hanches;Mobilité hanches;15–30 min;mobilite;;;
mobilite_epaules_dos;Mobilité épaules & dos;15–30 min;mobilite;;;
coach_auto_groupe;Coach Auto Groupe;auto;adaptatif groupe;;;
musculation_force;Musculation force;45–75 min;force;;;
muscu_legs;Musculation Legs;45–75 min;musculation;;;
muscu_pull;Musculation Pull;45–70 min;musculation;;;
muscu_push;Musculation Push;45–70 min;musculation;;;
renforcement;Renforcement musculaire;30–60 min;renforcement;;;
hypertrophie;Hypertrophie / prise de masse;45–75 min;volume musculaire;;;
perte_poids_45;Perte de poids 45 min;45 min;hiit;;;
echauffement_general;Échauffement général;8–15 min;warmup;;;
senior_equilibre;Senior équilibre;25–40 min;prevention;;;
renfo_bas_corps;Renfo bas du corps;35–55 min;renforcement;;;
renfo_dos_abdos;Renfo dos & abdos;25–40 min;renforcement;;;
renfo_haut_corps;Renfo haut du corps;35–55 min;renforcement;;;
renforcement_avance_v40;Renforcement Avancé;45–70 min;renforcement;;;
renforcement_bas_corps_v40;Renforcement Bas du corps;35–55 min;renforcement;;;
renforcement_boxe_v40;Renforcement Boxe;30–45 min;renforcement;;;
renforcement_core_v40;Renforcement Core;20–35 min;renforcement;;;
renforcement_debutant_v40;Renforcement Débutant;30–40 min;renforcement;;;
renforcement_exterieur_v40;Renforcement Extérieur;25–45 min;renforcement;;;
renforcement_groupe_v40;Renforcement Groupe;30–45 min;renforcement;;;
renforcement_haut_corps_v40;Renforcement Haut du corps;35–55 min;renforcement;;;
renforcement_intermediaire_v40;Renforcement Intermédiaire;40–55 min;renforcement;;;
renforcement_solo_v40;Renforcement Solo;35–60 min;renforcement;;;
reprise_post_arret;Reprise après arrêt;20–35 min;prevention;;;
retour_au_calme;Retour au calme;8–20 min;cooldown;;;
jambes_fessiers;Jambes & fessiers;45–70 min;bas du corps;;;
stretching_complet;Stretching complet;20–40 min;stretching;;;
amrap_12;AMRAP 12 min;12 min;amrap;;;
amrap_20;AMRAP 20 min;20 min;amrap;;;
amrap_avance_v40;AMRAP Avancé;45–70 min;amrap;;;
