id;nom;durée;style;niveau;audience;cible;mode
tabata_full_body_solo_10_min_debutant;Tabata Full body Solo 10 min;10 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_solo_15_min_debutant;Tabata Full body Solo 15 min;15 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_solo_20_min_debutant;Tabata Full body Solo 20 min;20 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_solo_25_min_debutant;Tabata Full body Solo 25 min;25 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_solo_30_min_debutant;Tabata Full body Solo 30 min;30 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_solo_45_min_debutant;Tabata Full body Solo 45 min;45 min;tabata;Débutant;Solo;Full body;terrain hardcore
tabata_full_body_groupe_10_min_debutant;Tabata Full body Groupe 10 min;10 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_15_min_debutant;Tabata Full body Groupe 15 min;15 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_20_min_debutant;Tabata Full body Groupe 20 min;20 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_25_min_debutant;Tabata Full body Groupe 25 min;25 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_30_min_debutant;Tabata Full body Groupe 30 min;30 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_groupe_45_min_debutant;Tabata Full body Groupe 45 min;45 min;tabata;Débutant;Groupe;Full body;terrain hardcore
tabata_full_body_maison_10_min_debutant;Tabata Full body Maison 10 min;10 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_maison_15_min_debutant;Tabata Full body Maison 15 min;15 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_maison_20_min_debutant;Tabata Full body Maison 20 min;20 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_maison_25_min_debutant;Tabata Full body Maison 25 min;25 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_maison_30_min_debutant;Tabata Full body Maison 30 min;30 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_maison_45_min_debutant;Tabata Full body Maison 45 min;45 min;tabata;Débutant;Maison;Full body;terrain hardcore
tabata_full_body_salle_10_min_debutant;Tabata Full body Salle 10 min;10 min;tabata;Débutant;Salle;Full body;terrain hardcore
tabata_full_body_salle_15_min_debutant;Tabata Full body Salle 15 min;15 min;tabata;Débutant;Salle;Full body;terrain hardcore
tabata_full_body_salle_20_min_debutant;Tabata Full body Salle 20 min;20 min;tabata;Débutant;Salle;Full body;terrain hardcore
tabata_full_body_salle_25_min_debutant;Tabata Full body Salle 25 min;25 min;tabata;Débutant;Salle;Full body;terrain hardcore
tabata_full_body_salle_30_min_debutant;Tabata Full body Salle 30 min;30 min;tabata;Débutant;Salle;Full body;terrain hardcore
tabata_full_body_salle_45_min_debutant;Tabata Full body Salle 45 min;45 min;tabata;Débutant;Salle;Full body;terrain hardcore
