id;nom;categorie;style;niveau;photo;avatar_posture;consigne
EX0001;Développé couché barre;Haut du corps;musculation;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0002;Développé couché barre;Haut du corps;poids_du_corps;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_poids_du_corps.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_poids_du_corps_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0003;Développé couché barre;Haut du corps;crossfit;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_crossfit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_crossfit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0004;Développé couché barre;Haut du corps;crosstraining;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_crosstraining.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_crosstraining_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0005;Développé couché barre;Haut du corps;hiit;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_hiit.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_hiit_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0006;Développé couché barre;Haut du corps;amrap;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_amrap.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_amrap_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0007;Développé couché barre;Haut du corps;emom;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_emom.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_emom_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0008;Développé couché barre;Haut du corps;cardio;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_cardio.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_cardio_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0009;Développé couché barre;Haut du corps;remise_forme;Débutant;assets/photos/push/push_developpe_couche_barre_debutant_remise_forme.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_debutant_remise_forme_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
EX0010;Développé couché barre;Haut du corps;musculation;Actif;assets/photos/push/push_developpe_couche_barre_actif_musculation.jpg;assets/avatar_exercices/push/push_developpe_couche_barre_actif_musculation_avatar.png;Photo réaliste sombre style ENRX + avatar FAFATRAINING en posture si possible : Développé couché barre
