key;exercice;groupe_musculaire;categorie;styles;fichier_attendu
dips;Dips;Pectoraux;push;;assets/exercises/push/dips.jpg
developpe_couche_barre;Développé couché barre;Pectoraux;push;;assets/exercises/push/developpe_couche_barre.jpg
developpe_couche_halteres;Développé couché haltères;Pectoraux;push;;assets/exercises/push/developpe_couche_halteres.jpg
developpe_incline_halteres;Développé incliné haltères;Pectoraux;push;;assets/exercises/push/developpe_incline_halteres.jpg
bench_press_machine;Développé machine;Pectoraux;push;machine, musculation;assets/exercises/push/bench_press_machine.jpg
developpe_militaire;Développé militaire;Pectoraux;push;;assets/exercises/push/developpe_militaire.jpg
extension_triceps_poulie;Extension triceps poulie;Pectoraux;push;;assets/exercises/push/extension_triceps_poulie.jpg
extension_triceps_elastique;Extension triceps élastique;Pectoraux;push;;assets/exercises/push/extension_triceps_elastique.jpg
pec_deck;Pec deck;Pectoraux;push;machine, hypertrophie;assets/exercises/push/pec_deck.jpg
pompes;Pompes;Pectoraux;push;poids_du_corps, hiit, full_body;assets/exercises/push/pompes.jpg
pompes_anneaux;Pompes anneaux;Pectoraux;push;crossfit, poids_du_corps;assets/exercises/push/pompes_anneaux.jpg
pompes_diamant;Pompes diamant;Pectoraux;push;;assets/exercises/push/pompes_diamant.jpg
pompes_declinees;Pompes déclinées;Pectoraux;push;;assets/exercises/push/pompes_declinees.jpg
pompes_genoux;Pompes genoux;Pectoraux;push;debutant, poids_du_corps;assets/exercises/push/pompes_genoux.jpg
hand_release_push_up;Pompes hand release;Pectoraux;push;crossfit, for_time;assets/exercises/push/hand_release_push_up.jpg
pompes_inclinees;Pompes inclinées;Pectoraux;push;debutant, poids_du_corps, home;assets/exercises/push/pompes_inclinees.jpg
pompes_pike;Pompes pike;Pectoraux;push;poids_du_corps, renforcement;assets/exercises/push/pompes_pike.jpg
pompes_spiderman;Pompes spiderman;Pectoraux;push;poids_du_corps, hiit, core;assets/exercises/push/pompes_spiderman.jpg
pompes_triceps_banc;Pompes triceps banc;Pectoraux;push;home, renforcement;assets/exercises/push/pompes_triceps_banc.jpg
pullover_haltere;Pull-over haltère;Pectoraux;pull;musculation;assets/exercises/pull/pullover_haltere.jpg
push_press;Push press;Pectoraux;push;crossfit, force;assets/exercises/push/push_press.jpg
elevations_laterales;Élévations latérales;Pectoraux;push;;assets/exercises/push/elevations_laterales.jpg
band_pull_apart;Band pull apart;Dos / biceps;pull;prevention, mobilite;assets/exercises/pull/band_pull_apart.jpg
bear_plank;Bear plank;Dos / biceps;core;core, home;assets/exercises/core/bear_plank.jpg
bird_dog;Bird dog;Dos / biceps;core;;assets/exercises/core/bird_dog.jpg
crunch;Crunch;Dos / biceps;core;;assets/exercises/core/crunch.jpg
curl_barre_ez;Curl barre EZ;Dos / biceps;pull;musculation, hypertrophie;assets/exercises/pull/curl_barre_ez.jpg
curl_concentre;Curl concentré;Dos / biceps;pull;musculation;assets/exercises/pull/curl_concentre.jpg
curl_halteres;Curl haltères;Dos / biceps;pull;;assets/exercises/pull/curl_halteres.jpg
curl_marteau;Curl marteau;Dos / biceps;pull;;assets/exercises/pull/curl_marteau.jpg
curl_poulie;Curl poulie;Dos / biceps;pull;;assets/exercises/pull/curl_poulie.jpg
curl_supination;Curl supination;Dos / biceps;pull;musculation, hypertrophie;assets/exercises/pull/curl_supination.jpg
dead_bug;Dead bug;Dos / biceps;core;;assets/exercises/core/dead_bug.jpg
deadlift;Deadlift;Dos / biceps;legs;;assets/exercises/legs/deadlift.jpg
face_pull;Face pull;Dos / biceps;pull;;assets/exercises/pull/face_pull.jpg
gainage;Gainage;Dos / biceps;core;core, home;assets/exercises/core/gainage.jpg
gainage_genoux;Gainage genoux;Dos / biceps;core;;assets/exercises/core/gainage_genoux.jpg
gainage_lateral;Gainage latéral;Dos / biceps;core;;assets/exercises/core/gainage_lateral.jpg
hollow_hold;Hollow hold;Dos / biceps;core;;assets/exercises/core/hollow_hold.jpg
knee_raises;Montées de genoux suspendu;Dos / biceps;core;core, crossfit;assets/exercises/core/knee_raises.jpg
mountain_climber_lent;Mountain climber lent;Dos / biceps;core;debutant, core;assets/exercises/core/mountain_climber_lent.jpg
oiseau_halteres;Oiseau haltères;Dos / biceps;pull;prevention, musculation;assets/exercises/pull/oiseau_halteres.jpg
pallof_press;Pallof press;Dos / biceps;core;;assets/exercises/core/pallof_press.jpg
planche_commando;Planche commando;Dos / biceps;core;core, hiit;assets/exercises/core/planche_commando.jpg
pull_over_poulie;Pull-over poulie;Dos / biceps;pull;;assets/exercises/pull/pull_over_poulie.jpg
releves_jambes;Relevés de jambes;Dos / biceps;core;;assets/exercises/core/releves_jambes.jpg
ab_wheel;Roue abdominale;Dos / biceps;core;core, renforcement;assets/exercises/core/ab_wheel.jpg
seated_row_machine;Rowing assis machine;Dos / biceps;pull;machine, renforcement;assets/exercises/pull/seated_row_machine.jpg
rowing_barre;Rowing barre;Dos / biceps;pull;;assets/exercises/pull/rowing_barre.jpg
rowing_haltere;Rowing haltère;Dos / biceps;pull;;assets/exercises/pull/rowing_haltere.jpg
rowing_incline_halteres;Rowing incliné haltères;Dos / biceps;pull;;assets/exercises/pull/rowing_incline_halteres.jpg
inverted_row;Rowing inversé;Dos / biceps;pull;poids_du_corps, cross_training;assets/exercises/pull/inverted_row.jpg
russian_twist;Russian twist;Dos / biceps;core;core, circuit_training;assets/exercises/core/russian_twist.jpg
plank_shoulder_tap;Shoulder taps;Dos / biceps;core;core, hiit;assets/exercises/core/plank_shoulder_tap.jpg
shrugs_halteres;Shrugs haltères;Dos / biceps;pull;musculation;assets/exercises/pull/shrugs_halteres.jpg
sit_up;Sit-up;Dos / biceps;core;crossfit, core;assets/exercises/core/sit_up.jpg
dead_hang;Suspension passive;Dos / biceps;pull;prevention, poids_du_corps;assets/exercises/pull/dead_hang.jpg
tirage_anneaux;Tirage anneaux;Dos / biceps;pull;poids_du_corps, circuit_training;assets/exercises/pull/tirage_anneaux.jpg
tirage_horizontal;Tirage horizontal;Dos / biceps;pull;;assets/exercises/pull/tirage_horizontal.jpg
tirage_menton;Tirage menton;Dos / biceps;pull;musculation;assets/exercises/pull/tirage_menton.jpg
tirage_vertical;Tirage vertical;Dos / biceps;pull;;assets/exercises/pull/tirage_vertical.jpg
lat_pulldown_neutral;Tirage vertical prise neutre;Dos / biceps;pull;machine, musculation;assets/exercises/pull/lat_pulldown_neutral.jpg
toes_to_bar;Toes to bar;Dos / biceps;core;crossfit, expert;assets/exercises/core/toes_to_bar.jpg
scap_pullup;Traction scapulaire;Dos / biceps;pull;prevention, poids_du_corps;assets/exercises/pull/scap_pullup.jpg
tractions;Tractions;Dos / biceps;pull;;assets/exercises/pull/tractions.jpg
tractions_assistees;Tractions assistées;Dos / biceps;pull;;assets/exercises/pull/tractions_assistees.jpg
tuck_up;Tuck-up;Dos / biceps;core;core, debutant;assets/exercises/core/tuck_up.jpg
v_up;V-up;Dos / biceps;core;crossfit, core;assets/exercises/core/v_up.jpg
extension_triceps_nuque;Extension triceps nuque;Épaules / triceps;push;musculation;assets/exercises/push/extension_triceps_nuque.jpg
kickback_triceps;Kickback triceps;Épaules / triceps;push;musculation;assets/exercises/push/kickback_triceps.jpg
hip_abduction_machine;Abduction machine;Jambes / fessiers;legs;machine, fessiers;assets/exercises/legs/hip_abduction_machine.jpg
adductor_machine;Adducteurs machine;Jambes / fessiers;legs;machine, renforcement;assets/exercises/legs/adductor_machine.jpg
adduction_elastique;Adduction debout élastique;Jambes / fessiers;legs;prevention, renforcement;assets/exercises/legs/adduction_elastique.jpg
air_squat;Air squat;Jambes / fessiers;legs;debutant, poids_du_corps;assets/exercises/legs/air_squat.jpg
back_squat;Back squat;Jambes / fessiers;legs;;assets/exercises/legs/back_squat.jpg
wall_sit_march;Chaise murale alternée;Jambes / fessiers;legs;circuit_training, home;assets/exercises/legs/wall_sit_march.jpg
clam_shell;Clam shell;Jambes / fessiers;legs;prevention, home;assets/exercises/legs/clam_shell.jpg
cossack_squat;Cossack squat;Jambes / fessiers;legs;mobilite, cross_training;assets/exercises/legs/cossack_squat.jpg
deadlift_kettlebell;Deadlift kettlebell;Jambes / fessiers;legs;;assets/exercises/legs/deadlift_kettlebell.jpg
extension_lombaire;Extension lombaire;Jambes / fessiers;core;prevention, musculation;assets/exercises/core/extension_lombaire.jpg
kb_goblet_lunge;Fente goblet kettlebell;Jambes / fessiers;legs;cross_training, hyrox;assets/exercises/legs/kb_goblet_lunge.jpg
lateral_lunge;Fente latérale;Jambes / fessiers;legs;renforcement, mobilite;assets/exercises/legs/lateral_lunge.jpg
fentes_arriere;Fentes arrière;Jambes / fessiers;legs;;assets/exercises/legs/fentes_arriere.jpg
fentes_bulgares;Fentes bulgares;Jambes / fessiers;legs;;assets/exercises/legs/fentes_bulgares.jpg
fentes_marchees;Fentes marchées;Jambes / fessiers;legs;;assets/exercises/legs/fentes_marchees.jpg
walking_lunges;Fentes marchées;Jambes / fessiers;legs;hyrox, cross_training;assets/exercises/legs/walking_lunges.jpg
sandbag_lunge;Fentes sandbag;Jambes / fessiers;legs;hyrox, crossfit;assets/exercises/legs/sandbag_lunge.jpg
front_squat;Front squat;Jambes / fessiers;legs;;assets/exercises/legs/front_squat.jpg
goblet_squat;Goblet squat;Jambes / fessiers;legs;;assets/exercises/legs/goblet_squat.jpg
good_morning;Good morning;Jambes / fessiers;legs;force, musculation;assets/exercises/legs/good_morning.jpg
